,id,analysis_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
42,12SBeS47Z8b1N6FqbfXhL7,https://api.spotify.com/v1/audio-analysis/12SBeS47Z8b1N6FqbfXhL7,0.548,0.145,3,-18.016,1,0.0352,0.963,0.933,0.107,0.159,68.209,233592,4,1
43,02i1UXUUB9PN5zFqTZJ0Yo,https://api.spotify.com/v1/audio-analysis/02i1UXUUB9PN5zFqTZJ0Yo,0.274,0.118,5,-18.171,1,0.0349,0.957,0.931,0.11,0.238,59.671,210680,4,1
44,5hQBsGeVd6IwmuNXG744pg,https://api.spotify.com/v1/audio-analysis/5hQBsGeVd6IwmuNXG744pg,0.52,0.105,0,-19.122,1,0.0408,0.945,0.86,0.119,0.168,115.22,272092,4,1
45,7cZxQ0m9bK0TLsaUD2UoQd,https://api.spotify.com/v1/audio-analysis/7cZxQ0m9bK0TLsaUD2UoQd,0.502,0.168,0,-15.757,1,0.0355,0.969,0.971,0.111,0.158,123.575,129415,4,1
46,3XCyhZ9xWZyF1Rn9lZJqCZ,https://api.spotify.com/v1/audio-analysis/3XCyhZ9xWZyF1Rn9lZJqCZ,0.599,0.153,0,-17.978,1,0.0402,0.963,0.846,0.103,0.0682,67.423,293750,4,1
47,2ixKm55QpuEkEKHVGHWCNQ,https://api.spotify.com/v1/audio-analysis/2ixKm55QpuEkEKHVGHWCNQ,0.428,0.2,7,-15.452,1,0.0347,0.968,0.906,0.122,0.205,108.653,229505,4,1
48,1Eh0sGvTxDYx13pE2PBpEn,https://api.spotify.com/v1/audio-analysis/1Eh0sGvTxDYx13pE2PBpEn,0.553,0.121,10,-15.262,1,0.0445,0.936,0.418,0.0956,0.172,114.29,204084,4,1
49,4UsWPDI7ztp83qi9QVLp0C,https://api.spotify.com/v1/audio-analysis/4UsWPDI7ztp83qi9QVLp0C,0.547,0.21,8,-15.526,1,0.0394,0.928,0.898,0.116,0.0571,68.069,231674,4,1
50,3aEzo1qHVQU5S3nsjFfx0V,https://api.spotify.com/v1/audio-analysis/3aEzo1qHVQU5S3nsjFfx0V,0.508,0.141,5,-19.131,1,0.0331,0.945,0.9,0.1,0.213,111.717,179064,4,1
51,7sDq8pkhmQJCkRR68jnnzz,https://api.spotify.com/v1/audio-analysis/7sDq8pkhmQJCkRR68jnnzz,0.474,0.19,7,-16.562,0,0.0334,0.963,0.852,0.0953,0.082,67.561,208507,3,2
52,5KGvJsyIZKQ2bTBzqd3Shh,https://api.spotify.com/v1/audio-analysis/5KGvJsyIZKQ2bTBzqd3Shh,0.599,0.156,3,-17.213,1,0.0456,0.956,0.965,0.126,0.0735,106.191,166678,4,1
53,2bjt3Gki4hIwX9EIrSuYQA,https://api.spotify.com/v1/audio-analysis/2bjt3Gki4hIwX9EIrSuYQA,0.353,0.105,0,-20.407,1,0.0353,0.897,0.897,0.126,0.224,97.759,327225,4,1
54,1JZCH5xEj7DwhLpQIj1ZtX,https://api.spotify.com/v1/audio-analysis/1JZCH5xEj7DwhLpQIj1ZtX,0.659,0.181,8,-16.523,1,0.0363,0.929,0.769,0.136,0.265,107.618,229064,4,1
55,0jXPKgpfyYXEWNHVBSCJ4P,https://api.spotify.com/v1/audio-analysis/0jXPKgpfyYXEWNHVBSCJ4P,0.401,0.156,1,-16.993,1,0.0473,0.967,0.881,0.121,0.198,117.411,271128,4,1
56,5HP9LwDRT5FGOokrN1HnZ3,https://api.spotify.com/v1/audio-analysis/5HP9LwDRT5FGOokrN1HnZ3,0.473,0.132,3,-19.769,1,0.0408,0.946,0.837,0.129,0.234,121.07,198333,4,1
57,3DQ9gWQyeGFpQeURdSEXik,https://api.spotify.com/v1/audio-analysis/3DQ9gWQyeGFpQeURdSEXik,0.419,0.19,0,-17.842,0,0.0303,0.912,0.939,0.111,0.15,102.025,205333,4,1
58,4W4PZdDzTUa06u4iXCKRxI,https://api.spotify.com/v1/audio-analysis/4W4PZdDzTUa06u4iXCKRxI,0.453,0.203,7,-14.187,1,0.0362,0.976,0.904,0.116,0.197,111.662,146021,4,1
59,39g5kkVtR6sTOrGXYWZ20C,https://api.spotify.com/v1/audio-analysis/39g5kkVtR6sTOrGXYWZ20C,0.317,0.11,5,-20.049,0,0.0351,0.956,0.926,0.115,0.0744,98.16,240004,4,1
60,2EAg1quHmyj5wGPEONM5KL,https://api.spotify.com/v1/audio-analysis/2EAg1quHmyj5wGPEONM5KL,0.55,0.151,3,-17.517,1,0.0347,0.97,0.865,0.111,0.106,114.926,280419,4,1
61,5u795XTEp5nJdQOfGJyi1i,https://api.spotify.com/v1/audio-analysis/5u795XTEp5nJdQOfGJyi1i,0.614,0.2,8,-14.764,1,0.0335,0.862,0.573,0.119,0.0953,110.676,221910,4,1
62,1kbVkvLiWNDF7J4zMPtwv7,https://api.spotify.com/v1/audio-analysis/1kbVkvLiWNDF7J4zMPtwv7,0.539,0.102,4,-18.691,1,0.0352,0.966,0.927,0.0974,0.212,61.977,159765,4,1
63,4L6de6eylUUkvtJYVknqR0,https://api.spotify.com/v1/audio-analysis/4L6de6eylUUkvtJYVknqR0,0.552,0.0863,7,-18.785,1,0.0316,0.934,0.982,0.126,0.188,58.691,137823,4,1
64,7Cmp85HSefyHtULmgajybL,https://api.spotify.com/v1/audio-analysis/7Cmp85HSefyHtULmgajybL,0.382,0.155,8,-17.956,1,0.0366,0.984,0.944,0.195,0.239,117.596,211672,4,1
65,7MTAzNGDR2oen6dmPKxI3C,https://api.spotify.com/v1/audio-analysis/7MTAzNGDR2oen6dmPKxI3C,0.503,0.149,7,-18.103,0,0.0409,0.985,0.889,0.0818,0.173,115.739,213836,4,1
66,6e6mVG7SXv73TrkpziM4gW,https://api.spotify.com/v1/audio-analysis/6e6mVG7SXv73TrkpziM4gW,0.553,0.0863,4,-19.817,1,0.033,0.956,0.948,0.108,0.0889,80.888,202246,3,2
67,120GHgxD1qLdNpnz2NT7Je,https://api.spotify.com/v1/audio-analysis/120GHgxD1qLdNpnz2NT7Je,0.416,0.191,2,-18.801,0,0.0323,0.965,0.964,0.12,0.236,111.956,195588,4,1
