,realSum,person_capacity,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,lng,lat,room_shared_True,room_private_True,host_is_superhost_True,weekend_yes
2451,184.93,2.0,1,0,10,95.0,1,1.13,0.71,11.036627781686157,26.732655575244515,12.494000000000002,41.909,0,1,1,1
2452,205.97,3.0,0,1,9,90.0,1,0.99,0.13,18.25118944137765,37.42738543988781,12.49246,41.89585,0,0,0,1
2453,186.1,5.0,0,1,9,98.0,2,3.65,0.26,12.519917763275476,31.64975973363413,12.459,41.907,0,0,0,1
2454,164.12,4.0,1,0,9,75.0,2,7.74,3.03,2.4598831100808733,6.418637853368747,12.51695,41.83208,0,1,0,1
2455,150.33,2.0,0,1,10,100.0,1,4.06,0.25,5.549123120405239,14.545619732469358,12.48628,41.86637,0,1,0,1
2456,191.71,4.0,0,1,10,80.0,1,3.54,0.29,7.182673250072129,21.67426609202687,12.4799,41.873740000000005,0,1,0,1
2457,196.39,2.0,0,1,6,60.0,1,3.35,0.17,7.90663273438737,22.866828766070576,12.48023,41.87556,0,1,0,1
2458,114.56,3.0,1,0,10,98.0,1,4.53,0.42,5.135827491302056,13.97603182949783,12.48161,41.86311,0,1,1,1
2459,290.14,6.0,1,0,9,100.0,2,1.88,1.04,6.268147383953061,16.548774432269266,12.50659,41.91747,0,0,1,1
2460,184.93,2.0,1,0,10,98.0,1,1.34,0.69,11.49306295653488,27.39972002160751,12.49139,41.90981,0,1,1,1
2461,274.0,6.0,0,0,9,85.0,2,2.43,0.34,5.785626965612277,15.418509219436164,12.51842,41.88262,0,0,0,1
2462,121.34,3.0,0,1,10,90.0,1,5.24,0.12,4.935719245717836,11.871495509183555,12.479,41.857,0,1,0,1
2463,184.93,2.0,1,0,10,98.0,1,1.3,0.62,11.743807651809307,28.24339115495184,12.49116,41.90918,0,1,1,1
2464,450.75,6.0,1,0,9,93.0,4,2.26,0.89,23.85606982621775,50.50407155126669,12.475,41.901,0,0,0,1
2465,722.42,4.0,0,0,10,98.0,2,2.43,0.22,20.013470913539017,28.946904011866643,12.47613,41.91074,0,0,1,1
2466,335.02,4.0,0,0,10,100.0,1,3.76,1.18,7.627328018607607,21.10820638173641,12.46853,41.87827,0,0,0,1
2467,181.42,4.0,0,0,10,95.0,1,2.39,0.23,5.231228817606128,14.339821657547269,12.52546,41.88813,0,0,1,1
2468,196.39,2.0,1,0,10,98.0,1,2.59,1.56,17.079094705999832,50.75570515428224,12.472,41.895,0,0,1,1
2469,109.88,2.0,1,0,10,96.0,0,5.97,0.26,2.5825195120339104,7.500998086947996,12.568,41.879,0,0,1,1
2470,438.83,6.0,0,1,9,92.0,3,2.34,0.44,13.416783766375644,37.22664166978464,12.4761,41.90879,0,0,0,1
2471,369.86,4.0,0,0,10,100.0,1,2.81,1.54,16.209126779149955,43.439441728866086,12.46873,41.89754,0,0,0,1
2472,159.21,3.0,0,1,9,81.0,0,2.92,1.81,13.206487074274513,59.28306349584943,12.46923,41.89171,0,1,0,1
2473,104.04,2.0,1,0,10,98.0,1,2.67,0.45,5.001751873623662,13.580352102009297,12.52601,41.88473,0,1,1,1
2474,115.49,2.0,1,0,10,100.0,1,2.47,0.39,5.232309004751421,14.227465213170836,12.52465,41.88619,0,1,1,1
2475,115.49,2.0,1,0,9,98.0,1,2.65,0.38,4.9834613642515,13.534882161953618,12.52644,41.88527,0,1,1,1
2476,126.95,5.0,0,0,10,94.0,2,5.34,2.67,4.948854999076323,13.329315372063167,12.45046,41.87235,0,0,0,1
2477,230.99,4.0,1,0,10,97.0,2,1.11,0.32,18.88260274604548,42.737561957581846,12.4903,41.89641,0,0,1,1
2478,76.45,2.0,0,1,9,86.0,1,6.27,0.23,2.383598739652653,6.4657585304909935,12.5707,41.924690000000005,0,1,0,1
2479,94.92,3.0,0,1,6,60.0,1,3.95,0.44,3.9111804075293537,11.16733314249986,12.53226,41.87327,0,1,0,1
2480,228.65,2.0,0,1,10,84.0,1,3.08,1.41,13.759630970340773,33.02589766955267,12.46533,41.89777,0,0,0,1
2481,208.08,2.0,1,0,10,100.0,1,2.14,1.09,6.1195987263294045,16.04311590667907,12.50427,41.92004,0,1,0,1
2482,192.41,4.0,0,1,10,95.0,2,3.08,1.6,11.72129650112404,42.54966653932004,12.46974,41.88754,0,0,1,1
2483,94.92,3.0,0,1,10,80.0,1,3.99,0.24,3.9359158131262513,11.527133793184644,12.53065,41.87191,0,1,0,1
2484,155.94,3.0,0,0,10,95.0,1,5.59,2.89,4.661281544169013,12.625057450889676,12.448,41.871,0,0,0,1
2485,214.86,6.0,0,1,9,89.0,2,1.04,0.76,10.431103850106842,26.23565681542844,12.496,41.909,0,0,0,1
2486,226.54,2.0,0,1,10,100.0,1,1.52,0.44,19.264171494408966,28.23646471462949,12.49519,41.88823,0,1,1,1
2487,158.51,3.0,0,1,9,85.0,1,3.07,1.77,12.10621979393805,58.818087782448224,12.46845,41.88961,0,1,0,1
2488,184.93,4.0,1,0,10,99.0,1,1.12,0.83,7.349036552649755,21.22419208988808,12.514,41.896,0,0,0,1
2489,194.05,5.0,0,0,9,92.0,2,1.28,0.09,9.77576794765417,21.287594620287315,12.50632,41.889790000000005,0,0,0,1
2490,277.28,6.0,0,1,10,100.0,3,2.35,0.39,4.748214619030331,13.26557548510167,12.52515,41.91338,0,0,0,1
2491,312.11,5.0,1,0,10,98.0,1,1.63,0.27,21.803565350207137,41.51904717462048,12.483,41.904,0,0,0,1
2492,159.45,2.0,1,0,10,100.0,1,4.55,2.27,4.937776603623824,12.560731494879324,12.46661,41.93199,0,1,0,1
