,realSum,person_capacity,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,room_shared_True,room_private_True,host_is_superhost_True,weekend_yes
193,138.76,5.0,0,1,7,79.0,1,4.65,0.32,20.26962312913148,11.444133254209271,0,1,0,0
194,453.44,2.0,0,0,10,100.0,1,3.34,0.31,22.146662835518583,14.444211219861105,0,0,0,0
195,629.84,4.0,1,0,10,97.0,1,5.41,2.16,14.481898420706116,8.229115866796393,0,0,1,0
196,436.51,4.0,1,0,8,74.0,1,3.16,0.79,23.3262766618029,13.48530443402537,0,0,0,0
197,707.21,4.0,0,1,10,100.0,2,7.3,1.12,11.469686259082264,6.946502277569891,0,0,0,0
198,133.59,2.0,0,1,9,86.0,1,2.39,0.44,33.50876265617439,14.2955208867101,0,1,0,0
199,133.59,3.0,0,1,9,84.0,1,2.37,0.3,32.70483686355507,13.987829362634848,0,1,0,0
200,790.23,6.0,1,0,10,100.0,3,6.43,2.15,12.270832138945435,7.100482395024585,0,0,0,0
201,142.52,2.0,0,1,9,89.0,1,7.23,0.44,11.841477188971949,7.218990443992035,0,1,0,0
202,1035.3,5.0,1,0,9,90.0,2,6.14,1.4,13.09790092557812,7.458837569697647,0,0,0,0
203,1308.59,6.0,0,0,10,97.0,3,3.93,0.54,19.1208001343282,11.624646841253869,0,0,1,0
204,335.38,2.0,0,1,10,90.0,0,3.42,0.22,24.909302744572404,14.672673070183794,0,0,0,0
205,336.79,2.0,0,0,10,100.0,4,5.98,1.75,13.332528907458002,7.641146849420834,0,1,1,0
206,373.01,2.0,1,0,9,94.0,1,4.76,0.13,19.170296287171805,12.048650149178936,0,1,0,0
207,373.01,2.0,1,0,9,91.0,1,4.76,0.13,19.170398868487773,12.04869349217338,0,1,0,0
208,388.53,3.0,0,0,8,87.0,1,5.94,1.1,13.697243679143783,7.8178192389095,0,0,0,0
209,164.4,2.0,0,0,10,98.0,1,5.36,1.59,14.93483792879164,8.450378644718802,0,1,1,0
210,242.24,2.0,1,0,10,99.0,1,1.18,0.37,45.13739226836995,31.289014115477293,0,1,1,0
211,271.88,4.0,0,0,9,84.0,1,4.3,1.95,18.032081070482043,9.44257959637274,0,1,0,0
212,158.05,2.0,0,0,10,97.0,1,5.03,0.33,15.793859081045175,8.874326131192552,0,1,1,0
213,194.27,2.0,0,0,8,95.0,1,3.67,0.47,23.999928875386352,16.029583406960267,0,1,0,0
214,163.22,2.0,0,0,10,99.0,1,9.67,0.55,10.121067481125785,5.169647070685361,0,1,1,0
215,418.4,2.0,1,0,9,73.0,1,4.64,0.43,19.159176625698287,12.378010385347965,0,0,0,0
216,154.28,2.0,1,0,8,87.0,1,3.75,0.21,22.137989778259065,12.701802468695249,0,1,0,0
217,514.12,5.0,0,1,9,94.0,2,4.4,0.27,19.52139845904694,12.214861501172106,0,0,0,0
218,181.57,2.0,1,0,9,92.0,1,5.81,1.56,13.328549421230733,8.350559151901404,0,1,0,0
219,427.57,6.0,1,0,8,87.0,2,17.3,5.4,4.785287632257614,2.5161587666507303,0,0,0,0
220,278.46,2.0,0,0,10,100.0,1,2.27,0.3,37.94554910622866,16.969644113310896,0,1,0,0
221,460.03,4.0,1,0,9,80.0,2,6.15,1.74,12.949960344170682,7.43233987242741,0,0,0,0
222,414.4,2.0,1,0,10,100.0,1,4.71,1.3,16.12694498795586,8.608947995118514,0,1,0,0
223,129.35,2.0,1,0,10,92.0,1,6.5,0.51,13.394686529827002,8.098435413099208,0,1,0,0
224,511.54,6.0,0,1,8,74.0,2,3.47,0.22,24.650857267817432,14.721131239673843,0,0,0,0
225,239.89,2.0,1,0,10,98.0,1,3.93,0.43,39.55299904011806,14.589160064083112,0,1,1,0
226,217.78,2.0,0,1,9,98.0,0,4.16,0.12,21.399020645809436,14.754535285989135,0,0,0,0
227,293.28,2.0,1,0,9,93.0,1,7.0,0.3,12.667477474200878,7.673738878007221,0,1,0,0
228,233.31,2.0,1,0,9,85.0,1,3.12,0.68,24.054419179856097,13.954613928645363,0,1,0,0
229,207.2,2.0,1,0,9,86.0,1,3.16,0.73,23.62507736142533,13.65297416808584,0,1,0,0
230,388.53,4.0,0,0,10,100.0,1,4.89,0.7,18.433687493182973,10.193335689370793,0,0,0,0
231,988.5,6.0,0,1,8,80.0,2,3.79,0.38,23.534455291406594,13.587966204709913,0,0,0,0
232,386.18,2.0,0,1,6,60.0,1,4.56,0.34,19.65501738177742,12.223943019200052,0,0,0,0
233,316.09,2.0,0,0,9,89.0,0,3.5,0.5,21.260342670014147,13.688125637358958,0,0,0,0
234,176.16,3.0,0,1,9,88.0,1,4.05,0.55,26.360001347671137,19.085283021086703,0,1,0,0
235,155.46,2.0,0,0,10,100.0,1,4.19,1.79,18.19548342929757,9.495944107292363,0,1,0,0
236,956.04,6.0,0,1,7,90.0,2,4.11,0.12,21.7613843387308,14.187000067822822,0,0,0,0
237,602.55,4.0,0,1,10,80.0,1,4.31,0.35,20.48158873597965,13.149516894877388,0,0,0,0
238,150.05,2.0,0,0,10,100.0,1,17.32,5.55,4.778227525260983,2.517654109258634,0,1,0,0
239,531.06,2.0,1,0,6,60.0,1,7.31,1.23,11.421330780701949,6.849265028945421,0,1,0,0
240,582.8,2.0,1,0,10,100.0,1,7.23,1.11,11.586302702523014,7.023496861308665,0,1,0,0
241,168.4,2.0,0,0,10,96.0,1,8.88,3.46,10.74758091814187,5.303837770692741,0,1,1,0
242,233.31,2.0,1,0,10,96.0,1,7.24,1.12,11.563670680985837,7.027795467852398,0,1,0,0
243,133.59,2.0,0,1,9,87.0,1,2.52,0.29,31.12225093909404,13.501243310496909,0,1,0,0
244,492.25,6.0,1,0,8,80.0,2,4.41,0.29,17.39470839571676,9.878784705783945,0,0,0,0
245,148.87,2.0,0,1,7,70.0,1,3.6,0.23,23.720764021529657,14.26322769423112,0,1,0,0
246,174.98,2.0,0,1,10,92.0,1,4.61,1.91,17.499049162276084,9.372012822389818,0,1,1,0
247,177.33,2.0,1,0,10,99.0,1,5.81,1.61,13.35221225489503,8.223777139997964,0,1,1,0
248,712.39,6.0,0,0,10,100.0,3,4.59,0.26,19.897800805809517,12.729883720302338,0,0,0,0
249,297.98,2.0,0,0,9,92.0,1,4.78,0.89,18.29467186631254,10.198899408061374,0,0,0,0
250,615.49,6.0,0,1,10,94.0,2,5.93,1.61,13.079224810475491,9.82123636388432,0,0,0,0
251,185.33,2.0,0,1,9,89.0,1,2.3,0.28,30.694479402121864,17.54309192014066,0,1,0,0
252,796.82,6.0,1,0,10,95.0,2,3.3,0.17,25.91167420465374,15.18491836878219,0,1,0,0
253,139.94,2.0,0,1,9,85.0,1,2.7,0.19,33.3596188295416,14.910082024539989,0,1,0,0
254,424.99,2.0,0,0,9,93.0,1,4.69,0.31,19.20574655623517,11.848711673874886,0,0,0,0
255,573.86,6.0,0,1,8,79.0,3,3.58,0.25,23.897569651186963,14.617341974020428,0,0,0,0
256,357.49,3.0,0,1,10,95.0,1,3.57,0.24,24.009103861024823,14.52136748252362,0,0,0,0
257,324.09,2.0,0,1,9,88.0,0,3.44,0.14,25.051431202499646,14.863629203421372,0,0,0,0
258,297.98,2.0,0,1,9,88.0,0,3.55,0.2,24.562015748007767,15.19573088809049,0,0,0,0
259,194.27,2.0,0,0,9,95.0,1,4.88,2.15,16.134382562194187,8.847461658885733,0,1,0,0
260,533.88,5.0,0,1,10,100.0,1,4.95,1.61,16.3528737517126,9.166935620953428,0,0,0,0
261,506.6,5.0,0,1,9,80.0,1,5.08,1.47,16.00828868060374,8.948098681942257,0,0,0,0
262,329.03,2.0,1,0,10,95.0,0,5.13,0.8,16.67134071539783,9.289460986295309,0,0,1,0
263,135.94,2.0,0,1,8,80.0,1,4.38,0.75,26.036679902974495,11.720079282040633,0,1,0,0
264,456.03,4.0,0,0,9,94.0,1,4.42,1.34,19.335533643055022,10.723493578958765,0,0,0,0
265,174.98,2.0,1,0,10,96.0,1,2.85,0.43,25.069909069611835,14.883814730829014,0,1,1,0
266,487.08,5.0,0,1,9,85.0,1,4.87,1.53,16.74642204069943,9.302166788224907,0,0,0,0
267,310.92,2.0,0,0,10,100.0,1,5.13,0.73,14.7406114994634,8.006092920465901,0,1,0,0
268,193.09,2.0,0,1,8,76.0,1,4.03,0.43,21.342749270167445,12.823333625517044,0,0,0,0
269,323.86,2.0,0,0,10,100.0,1,3.77,0.54,23.607442635473426,15.848955705350573,0,1,1,0
270,185.33,2.0,0,1,9,85.0,1,2.1,0.14,32.50339092875062,18.947634448891744,0,1,0,0
271,161.81,3.0,1,0,10,99.0,1,5.89,1.64,13.16593165332651,8.465501331367395,0,1,1,0
272,288.81,2.0,1,0,10,97.0,1,3.81,0.48,22.76971141808244,16.280363013340025,0,1,1,0
273,496.25,5.0,0,1,9,90.0,1,5.03,1.53,16.147257397843195,9.074963991021637,0,0,0,0
274,123.24,2.0,0,0,10,100.0,1,5.76,2.13,13.71966847886592,7.779909640463462,0,1,1,0
275,496.25,4.0,0,1,9,90.0,1,4.88,1.57,16.684542273957444,9.262466286331374,0,0,0,0
276,243.66,3.0,0,1,7,78.0,1,3.95,0.29,22.192643079908372,13.44018539703892,0,0,0,0
